game_id,season,week,game_date,home_team,away_team,halftime_home_score,halftime_away_score,final_home_score,final_away_score,pregame_spread,pregame_total,trailing_team_home,trailing_team,halftime_deficit,trailing_team_was_favorite,trailing_team_favorite_by,trailing_team_won
2025_07_TB_DET,2025,7,2025-10-20,DET,TB,14.0,3.0,24,9,6.0,54.5,False,TB,11,False,0.0,0
2025_07_WAS_DAL,2025,7,2025-10-19,DAL,WAS,27.0,15.0,44,22,1.5,54.5,False,WAS,12,False,0.0,0
2025_08_BUF_CAR,2025,8,2025-10-26,CAR,BUF,3.0,19.0,9,40,-7.0,47.5,True,CAR,16,False,0.0,0
2025_08_CHI_BAL,2025,8,2025-10-26,BAL,CHI,10.0,6.0,30,16,2.5,45.5,False,CHI,4,False,0.0,0
2025_08_CLE_NE,2025,8,2025-10-26,NE,CLE,9.0,7.0,32,13,7.0,40.5,False,CLE,2,False,0.0,0
2025_08_DAL_DEN,2025,8,2025-10-26,DEN,DAL,27.0,10.0,44,24,3.5,51.5,False,DAL,17,False,0.0,0
2025_08_GB_PIT,2025,8,2025-10-26,PIT,GB,16.0,7.0,25,35,-3.0,46.5,False,GB,9,True,3.0,1
2025_08_MIA_ATL,2025,8,2025-10-26,ATL,MIA,3.0,17.0,10,34,7.0,44.5,True,ATL,14,True,7.0,0
2025_08_MIN_LAC,2025,8,2025-10-23,LAC,MIN,21.0,3.0,37,10,3.0,45.5,False,MIN,18,False,0.0,0
2025_08_NYG_PHI,2025,8,2025-10-26,PHI,NYG,21.0,10.0,38,20,7.0,43.5,False,NYG,11,False,0.0,0
2025_08_NYJ_CIN,2025,8,2025-10-26,CIN,NYJ,24.0,13.0,38,39,5.5,43.5,False,NYJ,11,False,0.0,1
2025_08_SF_HOU,2025,8,2025-10-26,HOU,SF,16.0,7.0,26,15,2.5,41.5,False,SF,9,False,0.0,0
2025_08_TB_NO,2025,8,2025-10-26,NO,TB,3.0,7.0,3,23,-4.5,46.5,True,NO,4,False,0.0,0
2025_08_TEN_IND,2025,8,2025-10-26,IND,TEN,17.0,7.0,38,14,15.5,47.5,False,TEN,10,False,0.0,0
2025_09_ARI_DAL,2025,9,2025-11-03,DAL,ARI,7.0,17.0,17,27,3.5,53.5,True,DAL,10,True,3.5,0
2025_09_ATL_NE,2025,9,2025-11-02,NE,ATL,21.0,14.0,24,23,5.5,45.5,False,ATL,7,False,0.0,0
2025_09_BAL_MIA,2025,9,2025-10-30,MIA,BAL,6.0,14.0,6,28,-7.5,51.5,True,MIA,8,False,0.0,0
2025_09_CAR_GB,2025,9,2025-11-02,GB,CAR,6.0,7.0,13,16,12.5,43.5,True,GB,1,True,12.5,0
2025_09_CHI_CIN,2025,9,2025-11-02,CIN,CHI,20.0,17.0,42,47,-3.0,51.5,False,CHI,3,True,3.0,1
2025_09_DEN_HOU,2025,9,2025-11-02,HOU,DEN,12.0,7.0,15,18,1.5,40.5,False,DEN,5,False,0.0,1
2025_09_IND_PIT,2025,9,2025-11-02,PIT,IND,17.0,7.0,27,20,-3.5,51.5,False,IND,10,True,3.5,0
2025_09_JAX_LV,2025,9,2025-11-02,LV,JAX,6.0,3.0,29,30,-2.5,43.5,False,JAX,3,True,2.5,1
2025_09_KC_BUF,2025,9,2025-11-02,BUF,KC,21.0,13.0,28,21,-2.5,53.5,False,KC,8,True,2.5,0
2025_09_LAC_TEN,2025,9,2025-11-02,TEN,LAC,17.0,20.0,20,27,-10.0,44.5,True,TEN,3,False,0.0,0
2025_09_MIN_DET,2025,9,2025-11-02,DET,MIN,14.0,17.0,24,27,9.5,47.5,True,DET,3,True,9.5,0
2025_09_NO_LA,2025,9,2025-11-02,LA,NO,20.0,10.0,34,10,14.0,44.5,False,NO,10,False,0.0,0
2025_09_SEA_WAS,2025,9,2025-11-02,WAS,SEA,7.0,31.0,14,38,-2.5,47.5,True,WAS,24,False,0.0,0
2025_09_SF_NYG,2025,9,2025-11-02,NYG,SF,7.0,17.0,24,34,-2.5,47.5,True,NYG,10,False,0.0,0
2025_10_ARI_SEA,2025,10,2025-11-09,SEA,ARI,38.0,7.0,44,22,7.0,44.5,False,ARI,31,False,0.0,0
2025_10_ATL_IND,2025,10,2025-11-09,IND,ATL,13.0,14.0,31,25,6.5,48.5,True,IND,1,True,6.5,1
2025_10_BAL_MIN,2025,10,2025-11-09,MIN,BAL,10.0,9.0,19,27,-4.5,48.5,False,BAL,1,True,4.5,1
2025_10_BUF_MIA,2025,10,2025-11-09,MIA,BUF,16.0,0.0,30,13,-8.5,50.5,False,BUF,16,True,8.5,0
2025_10_DET_WAS,2025,10,2025-11-09,WAS,DET,10.0,25.0,22,44,-8.5,49.5,True,WAS,15,False,0.0,0
2025_10_JAX_HOU,2025,10,2025-11-09,HOU,JAX,10.0,20.0,36,29,-1.5,37.5,True,HOU,10,False,0.0,1
2025_10_LA_SF,2025,10,2025-11-09,SF,LA,7.0,21.0,26,42,-5.5,49.5,True,SF,14,False,0.0,0
2025_10_NE_TB,2025,10,2025-11-09,TB,NE,10.0,14.0,23,28,2.5,48.5,True,TB,4,True,2.5,0
2025_10_NO_CAR,2025,10,2025-11-09,CAR,NO,7.0,10.0,7,17,5.5,38.5,True,CAR,3,True,5.5,0
2025_10_NYG_CHI,2025,10,2025-11-09,CHI,NYG,7.0,10.0,24,20,4.5,45.5,True,CHI,3,True,4.5,1
2025_10_PIT_LAC,2025,10,2025-11-09,LAC,PIT,12.0,3.0,25,10,3.0,45.5,False,PIT,9,False,0.0,0
2025_11_BAL_CLE,2025,11,2025-11-16,CLE,BAL,16.0,10.0,16,23,-7.5,37.5,False,BAL,6,True,7.5,1
2025_11_CAR_ATL,2025,11,2025-11-16,ATL,CAR,21.0,10.0,27,30,4.5,42.5,False,CAR,11,False,0.0,1
2025_11_CHI_MIN,2025,11,2025-11-16,MIN,CHI,3.0,10.0,17,19,3.0,47.5,True,MIN,7,True,3.0,0
2025_11_CIN_PIT,2025,11,2025-11-16,PIT,CIN,10.0,6.0,34,12,5.5,48.5,False,CIN,4,False,0.0,0
2025_11_DAL_LV,2025,11,2025-11-17,LV,DAL,9.0,24.0,16,33,-3.5,48.5,True,LV,15,False,0.0,0
2025_11_DET_PHI,2025,11,2025-11-16,PHI,DET,13.0,6.0,16,9,2.5,46.5,False,DET,7,False,0.0,0
2025_11_HOU_TEN,2025,11,2025-11-16,TEN,HOU,3.0,0.0,13,16,-5.5,37.5,False,HOU,3,True,5.5,1
2025_11_LAC_JAX,2025,11,2025-11-16,JAX,LAC,14.0,6.0,35,6,-3.0,43.5,False,LAC,8,True,3.0,0
2025_11_NYJ_NE,2025,11,2025-11-13,NE,NYJ,14.0,7.0,27,14,12.5,43.5,False,NYJ,7,False,0.0,0
2025_11_SEA_LA,2025,11,2025-11-16,LA,SEA,14.0,9.0,21,19,3.0,49.5,False,SEA,5,False,0.0,0
2025_11_SF_ARI,2025,11,2025-11-16,ARI,SF,10.0,25.0,22,41,-3.5,48.5,True,ARI,15,False,0.0,0
2025_11_TB_BUF,2025,11,2025-11-16,BUF,TB,21.0,20.0,44,32,6.0,46.5,False,TB,1,False,0.0,0
2025_12_ATL_NO,2025,12,2025-11-23,NO,ATL,7.0,16.0,10,24,1.5,41.5,True,NO,9,True,1.5,0
2025_12_BUF_HOU,2025,12,2025-11-20,HOU,BUF,20.0,16.0,23,19,-5.5,43.5,False,BUF,4,True,5.5,0
2025_12_CAR_SF,2025,12,2025-11-24,SF,CAR,10.0,3.0,20,9,7.5,48.5,False,CAR,7,False,0.0,0
2025_12_CLE_LV,2025,12,2025-11-23,LV,CLE,3.0,14.0,10,24,3.0,35.5,True,LV,11,True,3.0,0
2025_12_IND_KC,2025,12,2025-11-23,KC,IND,9.0,14.0,23,20,3.5,50.5,True,KC,5,True,3.5,1
